species,family,range.size,conserv.europe,conserv.eu,OWS_egg,OWS_larvae,OWS_pupae,OWS_adult,GEN_Average,GEN_Min,GEN_Max,GEN_Range,WSP_Female_average,WSP_Female_range,HSI,LEV_buried,LEV_ground_layer,LEV_field_layer,LEV_shrub_layer,LEV_canopy_layer,ELT_single,ELT_small_batch,ELT_large_batch,ALT_Min,ALT_Range,FM_Average,FM_Range,AFB_herb/flower,AFB_grass,AFB_shrub_flower,AFB_honeydew,AFB_sap,AFB_animal,AFB_mineral
Spialia_orbifer,Hesperiidae,129,5,5,0,1,0,0,1.5,1,2,1,25,6,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,2500,5.5,3,1,0,0,0,0,0,0
Spialia_phlomidis,Hesperiidae,25,5,5,0,1,0,0,1,1,1,0,27,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,2200,4,0,NA,NA,NA,NA,NA,NA,NA
Spialia_rosae,Lycaenidae,,NA,NA,NA,NA,NA,NA,3,3,3,0,20,4,0.289,NA,NA,NA,NA,NA,NA,NA,NA,0,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spialia_sertorius,Hesperiidae,380,5,5,0,1,0,0,2,1,3,2,24,4,1,0,1,1,0,0,1,0,0,0,1700,7,4,1,0,0,0,0,0,0
Spialia_therapne,Hesperiidae,7,5,5,NA,NA,NA,NA,2,2,2,0,24,4,1,0,1,1,0,0,1,0,0,0,1500,5,0,NA,NA,NA,NA,NA,NA,NA
Tarucus_balkanicus,Lycaenidae,19,5,5,0,0,1,0,3,3,3,0,20,4,0.267,0,0,1,0,0,1,0,0,0,1200,7,0,1,0,0,0,0,0,0
Tarucus_theophrastus,Lycaenidae,4,5,5,NA,NA,NA,NA,3,3,3,0,21,2,0.354,0,0,0,1,0,1,0,0,0,250,6,0,NA,NA,NA,NA,NA,NA,NA
Thecla_betulae,Lycaenidae,628,5,5,1,0,0,0,1,1,1,0,35,10,0.129,0,0,0,1,0,1,0,0,0,1600,4.5,1,1,0,0,1,0,0,0
Thymelicus_acteon,Hesperiidae,496,4,4,0,1,0,0,1.5,1,2,1,24,4,0.118,0,0,1,0,0,0,1,0,0,2500,4.5,3,1,0,0,0,0,0,0
Thymelicus_christi,Hesperiidae,NA,5,5,0,1,0,0,2.5,2,3,1,24,4,NA,0,0,1,0,0,NA,NA,NA,100,900,9,0,NA,NA,NA,NA,NA,NA,NA
Thymelicus_hyrax,Hesperiidae,10,5,5,NA,NA,NA,NA,1,1,1,0,32.5,5,0.102,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,3,0,1,0,0,0,0,0,0
Thymelicus_lineola,Hesperiidae,926,5,5,1,0,0,0,1,1,1,0,25.5,7,0.067,0,0,1,0,0,0,1,1,0,2500,3.5,3,1,0,0,0,0,0,1
Thymelicus_sylvestris,Hesperiidae,832,5,5,0,1,0,0,1,1,1,0,26.5,5,0.101,0,0,1,0,0,0,1,0,0,2600,4.5,3,1,0,0,0,0,0,1
Tomares_ballus,Lycaenidae,51,5,5,0,0,1,0,1,1,1,0,29,2,0.125,0,0,1,0,0,1,0,0,200,1100,4,2,1,0,0,0,0,0,0
Tomares_callimachus,Lycaenidae,NA,5,NA,0,0,1,0,1,1,1,0,28,4,NA,1,1,1,0,0,1,0,0,0,2300,3,0,NA,NA,NA,NA,NA,NA,NA
Tomares_nogelii,Lycaenidae,2,3,0,NA,NA,NA,NA,1,1,1,0,32.5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,2300,3.5,1,NA,NA,NA,NA,NA,NA,NA
Turanana_taygetica,Lycaenidae,3,2,2,0,0,1,0,1.5,1,2,1,21,2,0.577,NA,NA,NA,NA,NA,NA,NA,NA,1500,800,4,0,1,0,0,0,0,0,1
Vanessa_atalanta,Nymphalidae,1343,5,5,0,0,0,1,2,1,3,2,59.5,13,0.316,0,0,1,0,0,1,0,0,0,2500,8.5,7,1,0,1,1,1,1,1
Vanessa_cardui,Nymphalidae,1373,5,5,0,0,0,1,2,1,3,2,54,16,0.083,0,0,1,0,0,1,0,0,0,3000,8,8,1,0,1,1,0,0,0
